id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/4620091,Designing and Analyzing Randomized Experiments: Application to a Japanese Election Survey Experiment,American Journal of Political Science,2007,,article,research-article,jstor,,2007-07-01,3,51,http://www.jstor.org/stable/4620091,Yusaku Horiuchi; Kosuke Imai; Naoko Taniguchi,Midwest Political Science Association,eng,669,687,,14037,19,unigram; bigram; trigram
http://www.jstor.org/stable/45132501,Non-Governmental Monitoring of Local Governments Increases Compliance with Central Mandates: A National-Scale Field Experiment in China,American Journal of Political Science,2019,,article,research-article,jstor,,2019-07-01,3,63,http://www.jstor.org/stable/45132501,Sarah E. Anderson; Mark T. Buntaine; Mengdi Liu; Bing Zhang,Midwest Political Science Association,eng,626,643,,12748,18,unigram; bigram; trigram
http://www.jstor.org/stable/26598753,No Need to Watch: How the Effects of Partisan Media Can Spread via Interpersonal Discussions,American Journal of Political Science,2018,,article,research-article,jstor,,2018-01-01,1,62,http://www.jstor.org/stable/26598753,James N. Druckman; Matthew S. Levendusky; Audrey McLain,Midwest Political Science Association,eng,99,112,,9808,14,unigram; bigram; trigram
http://www.jstor.org/stable/24877485,Opinion Backlash and Public Attitudes: Are Political Advances in Gay Rights Counterproductive?,American Journal of Political Science,2016,,article,research-article,jstor,,2016-07-01,3,60,http://www.jstor.org/stable/24877485,Benjamin G. Bishin; Thomas J. Hayes; Matthew B. Incantalupo; Charles Anthony Smith,Midwest Political Science Association,eng,625,648,,13352,24,unigram; bigram; trigram
http://www.jstor.org/stable/25652213,Untangling the Causal Effects of Sex on Judging,American Journal of Political Science,2010,,article,research-article,jstor,,2010-04-01,2,54,http://www.jstor.org/stable/25652213,Christina L. Boyd; Lee Epstein; Andrew D. Martin,Midwest Political Science Association,eng,389,411,,14493,23,unigram; bigram; trigram
http://www.jstor.org/stable/24583080,Front Matter,American Journal of Political Science,2015,,article,misc,jstor,,2015-07-01,3,59,http://www.jstor.org/stable/24583080,,Midwest Political Science Association,eng,,,,2617,8,unigram; bigram; trigram
http://www.jstor.org/stable/24877471,Is Voting Habit Forming? New Evidence from Experiments and Regression Discontinuities,American Journal of Political Science,2016,,article,research-article,jstor,,2016-10-01,4,60,http://www.jstor.org/stable/24877471,Alexander Coppock; Donald P. Green,Midwest Political Science Association,eng,1044,1062,,12252,19,unigram; bigram; trigram
http://www.jstor.org/stable/25193871,Social Networks and Collective Action,American Journal of Political Science,2009,,article,research-article,jstor,,2009-01-01,1,53,http://www.jstor.org/stable/25193871,David A. Siegel,Midwest Political Science Association,eng,122,138,,12748,17,unigram; bigram; trigram
http://www.jstor.org/stable/24363609,Back Matter,American Journal of Political Science,2015,,article,misc,jstor,,2015-01-01,1,59,http://www.jstor.org/stable/24363609,,Midwest Political Science Association,eng,,,,1931,4,unigram; bigram; trigram
http://www.jstor.org/stable/24582956,Can Incarcerated Felons Be (Re)integrated into the Political System? Results from a Field Experiment,American Journal of Political Science,2015,,article,research-article,jstor,,2015-10-01,4,59,http://www.jstor.org/stable/24582956,Alan S. Gerber; Gregory A. Huber; Marc Meredith; Daniel R. Biggers; David J. Hendry,Midwest Political Science Association,eng,912,926,,12589,15,unigram; bigram; trigram
http://www.jstor.org/stable/26598759,Paths of Recruitment: Rational Social Prospecting in Petition Canvassing,American Journal of Political Science,2018,,article,research-article,jstor,,2018-01-01,1,62,http://www.jstor.org/stable/26598759,Clayton Nall; Benjamin Schneer; Daniel Carpenter,Midwest Political Science Association,eng,192,209,,11873,18,unigram; bigram; trigram
http://www.jstor.org/stable/23496658,When Payouts Pay Off: Conditional Cash Transfers and Voting Behavior in Brazil 2002–10,American Journal of Political Science,2013,,article,research-article,jstor,,2013-10-01,4,57,http://www.jstor.org/stable/23496658,Cesar Zucco Jr.,Midwest Political Science Association,eng,810,822,,10010,13,unigram; bigram; trigram
http://www.jstor.org/stable/3694246,The Electoral Relevance of Political Talk: Examining Disagreement and Expertise Effects in Social Networks on Political Participation,American Journal of Political Science,2006,,article,research-article,jstor,,2006-07-01,3,50,http://www.jstor.org/stable/3694246,Scott D. McClurg,Midwest Political Science Association,eng,737,754,,12114,18,unigram; bigram; trigram
http://www.jstor.org/stable/24363487,"Distorted Communication, Unequal Representation: Constituents Communicate Less to Representatives Not of Their Race",American Journal of Political Science,2014,,article,research-article,jstor,,2014-04-01,2,58,http://www.jstor.org/stable/24363487,David E. Broockman,Midwest Political Science Association,eng,307,321,,12019,15,unigram; bigram; trigram
http://www.jstor.org/stable/24583090,Social Identity and Electoral Accountability,American Journal of Political Science,2015,,article,research-article,jstor,,2015-07-01,3,59,http://www.jstor.org/stable/24583090,Dimitri Landa; Dominik Duell,Midwest Political Science Association,eng,671,689,,14340,19,unigram; bigram; trigram
http://www.jstor.org/stable/24363540,A Checkpoint Effect? Evidence from a Natural Experiment on Travel Restrictions in the West Bank,American Journal of Political Science,2014,,article,research-article,jstor,,2014-10-01,4,58,http://www.jstor.org/stable/24363540,Matthew Longo; Daphna Canetti; Nancy Hite-Rubin,Midwest Political Science Association,eng,1006,1023,,13122,18,unigram; bigram; trigram
