id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,wordCount,pageCount,outputFormat
http://www.jstor.org/stable/40863718,Are Survey Experiments Externally Valid?,The American Political Science Review,2010,,article,research-article,jstor,,2010-05-01,2,104,http://www.jstor.org/stable/40863718,JASON BARABAS; JENNIFER JERIT,American Political Science Association,eng,226,242,,15860,17,unigram; bigram; trigram
http://www.jstor.org/stable/40863769,Who Wants To Deliberate—And Why?,The American Political Science Review,2010,,article,research-article,jstor,,2010-08-01,3,104,http://www.jstor.org/stable/40863769,MICHAEL A. NEBLO; KEVIN M. ESTERLING; RYAN P. KENNEDY; DAVID M.J. LAZER; ANAND E. SOKHEY,American Political Science Association,eng,566,583,,16664,18,unigram; bigram; trigram
http://www.jstor.org/stable/23275361,Candidate Genes and Political Behavior,The American Political Science Review,2012,,article,research-article,jstor,,2012-02-01,1,106,http://www.jstor.org/stable/23275361,EVAN CHARNEY; WILLIAM ENGLISH,American Political Science Association,eng,1,34,,29057,34,unigram; bigram; trigram
http://www.jstor.org/stable/4145332,How Deliberation Affects Policy Opinions,The American Political Science Review,2004,,article,research-article,jstor,,2004-11-01,4,98,http://www.jstor.org/stable/4145332,Jason Barabas,American Political Science Association,eng,687,701,,11990,15,unigram; bigram; trigram
http://www.jstor.org/stable/3118128,"An Extension and Test of Converse's ""Black-and-White"" Model of Response Stability",The American Political Science Review,2001,,article,research-article,jstor,,2001-06-01,2,95,http://www.jstor.org/stable/3118128,Jennifer L. Hill; Hanspeter Kriesi,American Political Science Association,eng,397,413,,13691,17,unigram; bigram; trigram
http://www.jstor.org/stable/41480828,Competing on Good Politicians,The American Political Science Review,2011,,article,research-article,jstor,,2011-02-01,1,105,http://www.jstor.org/stable/41480828,VINCENZO GALASSO; TOMMASO NANNICINI,American Political Science Association,eng,79,99,,19343,21,unigram; bigram; trigram
http://www.jstor.org/stable/43654425,International Interventions to Build Social Capital: Evidence from a Field Experiment in Sudan,The American Political Science Review,2015,,article,research-article,jstor,,2015-08-01,3,109,http://www.jstor.org/stable/43654425,ALEXANDRA AVDEENKO; MICHAEL J. GILLIGAN,American Political Science Association,eng,427,449,,19560,23,unigram; bigram; trigram
http://www.jstor.org/stable/27798482,Notes from the Editors,The American Political Science Review,2009,,article,misc,jstor,,2009-02-01,1,103,http://www.jstor.org/stable/27798482,,American Political Science Association,eng,iii,vii,,4020,5,unigram; bigram; trigram
http://www.jstor.org/stable/23357707,Tying Your Enemy's Hands in Close Races: The Politics of Federal Transfers in Brazil,The American Political Science Review,2012,,article,research-article,jstor,,2012-11-01,4,106,http://www.jstor.org/stable/23357707,FERNANDA BROLLO; TOMMASO NANNICINI,American Political Science Association,eng,742,761,,15723,20,unigram; bigram; trigram
http://www.jstor.org/stable/43654312,"Informal Institutions, Collective Action, and Public Investment in Rural China",The American Political Science Review,2015,,article,research-article,jstor,,2015-05-01,2,109,http://www.jstor.org/stable/43654312,YIQING XU; YANG YAO,American Political Science Association,eng,371,391,,16772,21,unigram; bigram; trigram
http://www.jstor.org/stable/23275356,Back Matter,The American Political Science Review,2011,,article,misc,jstor,,2011-11-01,4,105,http://www.jstor.org/stable/23275356,,American Political Science Association,eng,,,,12618,27,unigram; bigram; trigram
http://www.jstor.org/stable/23357716,Back Matter,The American Political Science Review,2012,,article,misc,jstor,,2012-11-01,4,106,http://www.jstor.org/stable/23357716,,American Political Science Association,eng,,,,10533,23,unigram; bigram; trigram
http://www.jstor.org/stable/41480850,Notes from the Editors,The American Political Science Review,2011,,article,misc,jstor,,2011-08-01,3,105,http://www.jstor.org/stable/41480850,,American Political Science Association,eng,iii,ix,,5736,7,unigram; bigram; trigram
http://www.jstor.org/stable/43654019,In Defense of Genopolitics,The American Political Science Review,2013,,article,research-article,jstor,,2013-05-01,2,107,http://www.jstor.org/stable/43654019,JAMES H. FOWLER; CHRISTOPHER T. DAWES,American Political Science Association,eng,362,374,,11980,13,unigram; bigram; trigram
http://www.jstor.org/stable/41480854,Elite Influence on Public Opinion in an Informed Electorate,The American Political Science Review,2011,,article,research-article,jstor,,2011-08-01,3,105,http://www.jstor.org/stable/41480854,JOHN G. BULLOCK,American Political Science Association,eng,496,515,,18015,20,unigram; bigram; trigram
http://www.jstor.org/stable/43654025,Notes from the Editors,The American Political Science Review,2013,,article,misc,jstor,,2013-11-01,4,107,http://www.jstor.org/stable/43654025,,American Political Science Association,eng,iii,ix,,5386,7,unigram; bigram; trigram
http://www.jstor.org/stable/30038969,The Constraining Power of International Treaties: Theory and Methods,The American Political Science Review,2005,,article,research-article,jstor,,2005-11-01,4,99,http://www.jstor.org/stable/30038969,Beth A. Simmons; Daniel J. Hopkins,American Political Science Association,eng,623,631,,8006,9,unigram; bigram; trigram
http://www.jstor.org/stable/43654034,Social Networks and the Mass Media,The American Political Science Review,2013,,article,research-article,jstor,,2013-11-01,4,107,http://www.jstor.org/stable/43654034,DAVID A. SIEGEL,American Political Science Association,eng,786,805,,15683,20,unigram; bigram; trigram
http://www.jstor.org/stable/41480823,Notes from the Editors,The American Political Science Review,2011,,article,misc,jstor,,2011-02-01,1,105,http://www.jstor.org/stable/41480823,,American Political Science Association,eng,iii,ix,,5459,7,unigram; bigram; trigram
http://www.jstor.org/stable/4145295,Predisposing Factors and Situational Triggers: Exclusionary Reactions to Immigrant Minorities,The American Political Science Review,2004,,article,research-article,jstor,,2004-02-01,1,98,http://www.jstor.org/stable/4145295,Paul M. Sniderman; Louk Hagendoorn; Markus Prior,American Political Science Association,eng,35,49,,11475,15,unigram; bigram; trigram
http://www.jstor.org/stable/27644447,Challenger Entry and Voter Learning,The American Political Science Review,2007,,article,research-article,jstor,,2007-05-01,2,101,http://www.jstor.org/stable/27644447,Sanford C. Gordon; Gregory A. Huber; Dimitri Landa,American Political Science Association,eng,303,320,,16389,18,unigram; bigram; trigram
http://www.jstor.org/stable/23275428,Notes from the Editors,The American Political Science Review,2012,,article,misc,jstor,,2012-08-01,3,106,http://www.jstor.org/stable/23275428,,American Political Science Association,eng,iii,x,,7096,8,unigram; bigram; trigram
http://www.jstor.org/stable/24809505,Why Are Immigrants Underrepresented in Politics? Evidence from Sweden,The American Political Science Review,2015,,article,research-article,jstor,,2015-11-01,4,109,http://www.jstor.org/stable/24809505,RAFAELA M. DANCYGIER; KARL-OSKAR LINDGREN; SVEN OSKARSSON; KÅRE VERNBY,American Political Science Association,eng,703,724,,16865,22,unigram; bigram; trigram
http://www.jstor.org/stable/27644525,"The Qualities of Leadership: Direction, Communication, and Obfuscation",The American Political Science Review,2008,,article,research-article,jstor,,2008-08-01,3,102,http://www.jstor.org/stable/27644525,Torun Dewan; David P. Myatt,American Political Science Association,eng,351,368,,17272,18,unigram; bigram; trigram
http://www.jstor.org/stable/27644392,The Growth and Development of Experimental Research in Political Science,The American Political Science Review,2006,,article,research-article,jstor,,2006-11-01,4,100,http://www.jstor.org/stable/27644392,James N. Druckman; Donald P. Green; James H. Kuklinski; Arthur Lupia,American Political Science Association,eng,627,635,,7047,9,unigram; bigram; trigram
http://www.jstor.org/stable/43655031,Partisanship and the Allocation of Federal Spending: Do Same-Party Legislators or Voters Benefit from Shared Party Affiliation with the President and House Majority?,The American Political Science Review,2015,,article,research-article,jstor,,2015-02-01,1,109,http://www.jstor.org/stable/43655031,ADAM M. DYNES; GREGORY A. HUBER,American Political Science Association,eng,172,186,,13824,15,unigram; bigram; trigram
http://www.jstor.org/stable/43654027,"Latin American Attitudes toward Women in Politics: The Influence of Elite Cues, Female Advancement, and Individual Characteristics",The American Political Science Review,2013,,article,research-article,jstor,,2013-11-01,4,107,http://www.jstor.org/stable/43654027,JANA MORGAN; MELISSA BUICE,American Political Science Association,eng,644,662,,14889,19,unigram; bigram; trigram
http://www.jstor.org/stable/41480831,How Large and Long-lasting Are the Persuasive Effects of Televised Campaign Ads? Results from a Randomized Field Experiment,The American Political Science Review,2011,,article,research-article,jstor,,2011-02-01,1,105,http://www.jstor.org/stable/41480831,ALAN S. GERBER; JAMES G. GIMPEL; DONALD P. GREEN; DARON R. SHAW,American Political Science Association,eng,135,150,,13722,16,unigram; bigram; trigram
http://www.jstor.org/stable/23357702,Front Matter,The American Political Science Review,2012,,article,misc,jstor,,2012-11-01,4,106,http://www.jstor.org/stable/23357702,,American Political Science Association,eng,,,,2042,5,unigram; bigram; trigram
http://www.jstor.org/stable/3118127,Political Ignorance and Collective Policy Preferences,The American Political Science Review,2001,,article,research-article,jstor,,2001-06-01,2,95,http://www.jstor.org/stable/3118127,Martin Gilens,American Political Science Association,eng,379,396,,15795,18,unigram; bigram; trigram
http://www.jstor.org/stable/23357714,Does Combat Experience Foster Organizational Skill? Evidence from Ethnic Cleansing during the Partition of South Asia,The American Political Science Review,2012,,article,research-article,jstor,,2012-11-01,4,106,http://www.jstor.org/stable/23357714,SAUMITRA JHA; STEVEN WILKINSON,American Political Science Association,eng,883,907,,20549,25,unigram; bigram; trigram
http://www.jstor.org/stable/43655023,Does Electoral Competition Exacerbate Interethnic or Interpartisan Economic Discrimination? Evidence from a Field Experiment in Market Price Bargaining,The American Political Science Review,2015,,article,research-article,jstor,,2015-02-01,1,109,http://www.jstor.org/stable/43655023,KRISTIN MICHELITCH,American Political Science Association,eng,43,61,,16372,19,unigram; bigram; trigram
http://www.jstor.org/stable/23275362,When Natural Experiments Are Neither Natural nor Experiments,The American Political Science Review,2012,,article,research-article,jstor,,2012-02-01,1,106,http://www.jstor.org/stable/23275362,JASJEET S. SEKHON; ROCÍO TITIUNIK,American Political Science Association,eng,35,57,,19241,23,unigram; bigram; trigram
http://www.jstor.org/stable/27798484,Do Electoral Quotas Work after They Are Withdrawn? Evidence from a Natural Experiment in India,The American Political Science Review,2009,,article,research-article,jstor,,2009-02-01,1,103,http://www.jstor.org/stable/27798484,RIKHIL R. BHAVNANI,American Political Science Association,eng,23,35,,11866,13,unigram; bigram; trigram
http://www.jstor.org/stable/43654426,How Does Development Assistance Affect Collective Action Capacity? Results from a Field Experiment in Post-Conflict Liberia,The American Political Science Review,2015,,article,research-article,jstor,,2015-08-01,3,109,http://www.jstor.org/stable/43654426,JAMES D. FEARON; MACARTAN HUMPHREYS; JEREMY M. WEINSTEIN,American Political Science Association,eng,450,469,,17605,20,unigram; bigram; trigram
