"","id","title","isPartOf","publicationYear","doi","docType","docSubType","provider","collection","datePublished","issueNumber","volumeNumber","url","creator","publisher","language","pageStart","pageEnd","placeOfPublication","wordCount","pageCount","outputFormat","Journal","select"
"1","http://www.jstor.org/stable/4620080","It Takes an Outsider: Extralegislative Organization and Partisanship in the California Assembly, 1849-2006","American Journal of Political Science",2007,NA,"article","research-article","jstor",NA,2007-07-01,3,51,"http://www.jstor.org/stable/4620080","Seth E. Masket","Midwest Political Science Association","eng","482","497",NA,11664,16,"unigram; bigram; trigram","AJPS",0
"2","http://www.jstor.org/stable/4620092","An Experimental Template for Case Study Research","American Journal of Political Science",2007,NA,"article","research-article","jstor",NA,2007-07-01,3,51,"http://www.jstor.org/stable/4620092","John Gerring; Rose McDermott","Midwest Political Science Association","eng","688","701",NA,10987,14,"unigram; bigram; trigram","AJPS",1
"3","http://www.jstor.org/stable/40982891","Dynamic Public Opinion: Communication Effects over Time","The American Political Science Review",2010,NA,"article","research-article","jstor",NA,2010-11-01,4,104,"http://www.jstor.org/stable/40982891","DENNIS CHONG; JAMES N. DRUCKMAN","American Political Science Association","eng","663","680",NA,16204,18,"unigram; bigram; trigram","APSR",1
"4","http://www.jstor.org/stable/10.1111/j.1468-2508.2006.00378.x","Delivering the Goods: Legislative Particularism in Different Electoral and Institutional Settings","The Journal of Politics",2006,NA,"article","research-article","jstor",NA,2006-02-01,1,68,"http://www.jstor.org/stable/10.1111/j.1468-2508.2006.00378.x","Scott Ashworth; Ethan Bueno de Mesquita","The University of Chicago Press","eng","168","179",NA,6872,12,"unigram; bigram; trigram","JOP",1
"5","http://www.jstor.org/stable/26598772","Election Timing, Electorate Composition, and Policy Outcomes: Evidence from School Districts","American Journal of Political Science",2018,NA,"article","research-article","jstor",NA,2018-07-01,3,62,"http://www.jstor.org/stable/26598772","Vladimir Kogan; Stéphane Lavertu; Zachary Peskowitz","Midwest Political Science Association","eng","637","651",NA,10738,15,"unigram; bigram; trigram","AJPS",0
"6","http://www.jstor.org/stable/45217045","How Getting the Facts Right Can Fuel Partisan-Motivated Reasoning","American Journal of Political Science",2019,NA,"article","research-article","jstor",NA,2019-10-01,4,63,"http://www.jstor.org/stable/45217045","Martin Bisgaard","Midwest Political Science Association","eng","824","839",NA,10790,16,"unigram; bigram; trigram","AJPS",1
"7","http://www.jstor.org/stable/3118127","Political Ignorance and Collective Policy Preferences","The American Political Science Review",2001,NA,"article","research-article","jstor",NA,2001-06-01,2,95,"http://www.jstor.org/stable/3118127","Martin Gilens","American Political Science Association","eng","379","396",NA,15795,18,"unigram; bigram; trigram","APSR",0
"8","http://www.jstor.org/stable/27798484","Do Electoral Quotas Work after They Are Withdrawn? Evidence from a Natural Experiment in India","The American Political Science Review",2009,NA,"article","research-article","jstor",NA,2009-02-01,1,103,"http://www.jstor.org/stable/27798484","RIKHIL R. BHAVNANI","American Political Science Association","eng","23","35",NA,11866,13,"unigram; bigram; trigram","APSR",0
"9","http://www.jstor.org/stable/25652222","Causal Inference with Differential Measurement Error: Nonparametric Identification and Sensitivity Analysis","American Journal of Political Science",2010,NA,"article","research-article","jstor",NA,2010-04-01,2,54,"http://www.jstor.org/stable/25652222","Kosuke Imai; Teppei Yamamoto","Midwest Political Science Association","eng","543","560",NA,13324,18,"unigram; bigram; trigram","AJPS",1
"10","http://www.jstor.org/stable/2669283","Examining the Robustness of Ideological Voting: Evidence from the Confederate House of Representatives","American Journal of Political Science",2000,NA,"article","research-article","jstor",NA,2000-10-01,4,44,"http://www.jstor.org/stable/2669283","Jeffery A. Jenkins","Midwest Political Science Association","eng","811","822",NA,9197,12,"unigram; bigram; trigram","AJPS",0
"11","http://www.jstor.org/stable/10.1111/j.1468-2508.2006.00410.x","Habitual Voting and Behavioral Turnout","The Journal of Politics",2006,NA,"article","research-article","jstor",NA,2006-05-01,2,68,"http://www.jstor.org/stable/10.1111/j.1468-2508.2006.00410.x","James H. Fowler","The University of Chicago Press","eng","335","344",NA,5356,10,"unigram; bigram; trigram","JOP",0
"12","http://www.jstor.org/stable/24363494","Varieties of Clientelism: Machine Politics during Elections","American Journal of Political Science",2014,NA,"article","research-article","jstor",NA,2014-04-01,2,58,"http://www.jstor.org/stable/24363494","Jordan Gans-Morse; Sebastián Mazzuca; Simeon Nichter","Midwest Political Science Association","eng","415","432",NA,14816,18,"unigram; bigram; trigram","AJPS",1
"13","http://www.jstor.org/stable/43655023","Does Electoral Competition Exacerbate Interethnic or Interpartisan Economic Discrimination? Evidence from a Field Experiment in Market Price Bargaining","The American Political Science Review",2015,NA,"article","research-article","jstor",NA,2015-02-01,1,109,"http://www.jstor.org/stable/43655023","KRISTIN MICHELITCH","American Political Science Association","eng","43","61",NA,16372,19,"unigram; bigram; trigram","APSR",1
"14","http://www.jstor.org/stable/26598755","How Do Interest Groups Seek Access to Committees?","American Journal of Political Science",2018,NA,"article","research-article","jstor",NA,2018-01-01,1,62,"http://www.jstor.org/stable/26598755","Alexander Fouirnaies; Andrew B. Hall","Midwest Political Science Association","eng","132","147",NA,12256,16,"unigram; bigram; trigram","AJPS",0
"15","http://www.jstor.org/stable/4145295","Predisposing Factors and Situational Triggers: Exclusionary Reactions to Immigrant Minorities","The American Political Science Review",2004,NA,"article","research-article","jstor",NA,2004-02-01,1,98,"http://www.jstor.org/stable/4145295","Paul M. Sniderman; Louk Hagendoorn; Markus Prior","American Political Science Association","eng","35","49",NA,11475,15,"unigram; bigram; trigram","APSR",1
"16","http://www.jstor.org/stable/10.1086/678766","Does Corruption Information Inspire the Fight or Quash the Hope? A Field Experiment in Mexico on Voter Turnout, Choice, and Party Identification","The Journal of Politics",2015,NA,"article","research-article","jstor",NA,2015-01-01,1,77,"http://www.jstor.org/stable/10.1086/678766","Alberto Chong; Ana L. De La O; Dean Karlan; Leonard Wantchekon","The University of Chicago Press","eng","55","71",NA,8620,17,"unigram; bigram; trigram","JOP",0
"17","http://www.jstor.org/stable/26598759","Paths of Recruitment: Rational Social Prospecting in Petition Canvassing","American Journal of Political Science",2018,NA,"article","research-article","jstor",NA,2018-01-01,1,62,"http://www.jstor.org/stable/26598759","Clayton Nall; Benjamin Schneer; Daniel Carpenter","Midwest Political Science Association","eng","192","209",NA,11873,18,"unigram; bigram; trigram","AJPS",1
"18","http://www.jstor.org/stable/43654426","How Does Development Assistance Affect Collective Action Capacity? Results from a Field Experiment in Post-Conflict Liberia","The American Political Science Review",2015,NA,"article","research-article","jstor",NA,2015-08-01,3,109,"http://www.jstor.org/stable/43654426","JAMES D. FEARON; MACARTAN HUMPHREYS; JEREMY M. WEINSTEIN","American Political Science Association","eng","450","469",NA,17605,20,"unigram; bigram; trigram","APSR",1
"19","http://www.jstor.org/stable/24583087","The Effect of Fact-Checking on Elites: A Field Experiment on U.S. State Legislators","American Journal of Political Science",2015,NA,"article","research-article","jstor",NA,2015-07-01,3,59,"http://www.jstor.org/stable/24583087","Brendan Nyhan; Jason Reifler","Midwest Political Science Association","eng","628","640",NA,9357,13,"unigram; bigram; trigram","AJPS",0
"20","http://www.jstor.org/stable/24363544","Arguing for a Negligible Effect","American Journal of Political Science",2014,NA,"article","research-article","jstor",NA,2014-10-01,4,58,"http://www.jstor.org/stable/24363544","Carlisle Rainey","Midwest Political Science Association","eng","1083","1091",NA,7254,9,"unigram; bigram; trigram","AJPS",0
"21","http://www.jstor.org/stable/27644430","Explaining Bureaucratic Optimism: Theory and Evidence from U.S. Executive Agency Macroeconomic Forecasts","The American Political Science Review",2007,NA,"article","research-article","jstor",NA,2007-02-01,1,101,"http://www.jstor.org/stable/27644430","George A. Krause; J. Kevin Corder","American Political Science Association","eng","129","142",NA,11363,14,"unigram; bigram; trigram","APSR",0
"22","http://www.jstor.org/stable/41495085","Legislative Bargaining and the Dynamics of Public Investment","The American Political Science Review",2012,NA,"article","research-article","jstor",NA,2012-05-01,2,106,"http://www.jstor.org/stable/41495085","MARCO BATTAGLINI; SALVATORE NUNNARI; THOMAS R. PALFREY","American Political Science Association","eng","407","429",NA,20429,23,"unigram; bigram; trigram","APSR",1
